assignment_id,section_id,course_id,title,type,description,total_points,due_date,created_date,status
ASG000001,SEC000106,NURS409,Midterm 1,Essay,Assignment covering course materials and objectives.,20,2024-10-07,2024-05-31,Active
ASG000002,SEC000058,CHEM531,Quiz 8,Quiz,Assignment covering course materials and objectives.,50,2024-05-09,2025-07-05,Draft
ASG000003,SEC000157,HIST304,Midterm 7,Midterm,Assignment covering course materials and objectives.,50,2025-03-11,2025-12-11,Draft
ASG000004,SEC000386,ENG247,Homework 2,Quiz,Assignment covering course materials and objectives.,100,2024-07-13,2025-01-08,Active
ASG000005,SEC000195,ECON554,Lab 3,Essay,Assignment covering course materials and objectives.,100,2025-11-04,2025-10-26,Active
ASG000006,SEC000058,CHEM531,Midterm 7,Midterm,Assignment covering course materials and objectives.,10,2025-06-27,2024-12-29,Draft
ASG000007,SEC000386,ENG247,Midterm 6,Quiz,Assignment covering course materials and objectives.,10,2025-10-05,2025-01-18,Draft
ASG000008,SEC000376,ART425,Project 7,Midterm,Assignment covering course materials and objectives.,10,2025-11-08,2024-11-06,Active
ASG000009,SEC000229,BIO561,Midterm 8,Quiz,Assignment covering course materials and objectives.,25,2024-02-04,2024-12-29,Draft
ASG000010,SEC000240,NURS238,Homework 3,Essay,Assignment covering course materials and objectives.,10,2025-12-14,2024-03-28,Active
ASG000011,SEC000189,ECON225,Lab 5,Lab,Assignment covering course materials and objectives.,10,2025-10-17,2025-09-27,Active
ASG000012,SEC000235,ENG247,Essay 3,Essay,Assignment covering course materials and objectives.,50,2025-10-07,2024-08-09,Draft
ASG000013,SEC000133,HIST395,Lab 5,Essay,Assignment covering course materials and objectives.,25,2024-12-10,2025-12-27,Draft
ASG000014,SEC000200,MUS358,Presentation 4,Project,Assignment covering course materials and objectives.,25,2025-12-07,2024-10-05,Active
ASG000015,SEC000002,MUS336,Essay 1,Essay,Assignment covering course materials and objectives.,20,2024-01-11,2025-12-03,Draft
ASG000016,SEC000083,BUS193,Midterm 8,Exam,Assignment covering course materials and objectives.,100,2025-10-02,2025-12-24,Active
ASG000017,SEC000244,PSYC373,Presentation 6,Final,Assignment covering course materials and objectives.,100,2025-05-24,2024-03-02,Active
ASG000018,SEC000081,MUS142,Presentation 7,Homework,Assignment covering course materials and objectives.,20,2025-02-23,2025-03-09,Active
ASG000019,SEC000326,BUS526,Exam 8,Presentation,Assignment covering course materials and objectives.,25,2024-09-27,2025-07-07,Active
ASG000020,SEC000329,CHEM329,Lab 4,Essay,Assignment covering course materials and objectives.,10,2024-02-27,2025-05-08,Draft
ASG000021,SEC000053,CHEM531,Presentation 6,Project,Assignment covering course materials and objectives.,50,2025-05-22,2025-04-23,Active
ASG000022,SEC000072,HIST123,Lab 8,Quiz,Assignment covering course materials and objectives.,50,2024-10-21,2025-07-31,Active
ASG000023,SEC000301,MUS106,Quiz 7,Project,Assignment covering course materials and objectives.,50,2025-08-18,2024-12-07,Active
