book_id,isbn,title,author,publisher,publication_year,genre,pages,copies_total,copies_available,location,status
BK000001,978-1486107206,Modern Art,Jessica Jackson,Pearson,2018,Literature,275,5,3,"Floor 2, Section A",Checked Out
BK000002,978-9722653745,Advanced Art,Ruth Clark,Oxford,2012,Business,247,3,0,"Floor 1, Section B",Checked Out
BK000003,978-4430021786,Introduction to Business,Karen Smith,McGraw-Hill,2015,Mathematics,552,6,0,"Floor 1, Section A",Available
BK000004,978-8413621890,Principles of Art,Anthony Taylor,Cengage,2008,Literature,327,2,3,"Floor 2, Section C",Available
BK000005,978-9386955645,Principles of Art,George Harris,Oxford,2010,Art,571,7,8,"Floor 1, Section A",Available
BK000006,978-4876942163,Principles of Computer Science,Thomas Perez,Cengage,2007,Literature,356,1,6,"Floor 2, Section C",Reserved
BK000007,978-6156075142,Introduction to Computer Science,Christopher Smith,McGraw-Hill,2024,Computer Science,466,5,8,"Floor 2, Section A",Available
BK000008,978-1276757085,Principles of History,Helen Lewis,McGraw-Hill,2019,Business,505,5,3,"Floor 2, Section B",Checked Out
BK000009,978-1949303913,Advanced Mathematics,Donald Anderson,Pearson,2019,Science,261,1,2,"Floor 2, Section A",Available
BK000010,978-5129892054,Modern Literature,Lisa Martinez,Cambridge,2010,Art,406,5,8,"Floor 1, Section A",Available
BK000011,978-5929731619,Advanced Computer Science,Ronald Taylor,Cambridge,2017,Science,360,7,4,"Floor 3, Section B",Available
BK000012,978-4033699775,Advanced Art,Barbara Brown,Oxford,2007,Computer Science,477,5,2,"Floor 2, Section B",Checked Out
BK000013,978-5024418401,Principles of Art,Paul King,Cengage,2008,Art,380,1,6,"Floor 3, Section A",Available
BK000014,978-1741849822,Principles of Mathematics,Betty Martin,Cambridge,2013,Business,436,7,4,"Floor 1, Section B",Available
BK000015,978-2164839967,Introduction to Science,Kevin King,Cengage,2020,Science,313,5,6,"Floor 1, Section C",Checked Out
BK000016,978-2505775169,Principles of Mathematics,Christopher Lee,Pearson,2014,Mathematics,405,1,1,"Floor 2, Section A",Available
BK000017,978-7613121231,Modern Art,James Williams,Wiley,2005,Science,370,4,2,"Floor 1, Section C",Reserved
BK000018,978-6821353024,Principles of Computer Science,Christopher Sanchez,Cambridge,2016,History,395,1,7,"Floor 2, Section C",Available
BK000019,978-1842846727,Principles of Art,Lisa Lewis,Oxford,2008,Computer Science,227,3,2,"Floor 2, Section A",Checked Out
BK000020,978-6569634097,Principles of Science,Karen Garcia,Pearson,2010,Literature,509,8,1,"Floor 2, Section C",Available
BK000021,978-7037612380,Advanced Literature,Karen Jones,Cengage,2015,Art,429,1,1,"Floor 2, Section C",Available
BK000022,978-2262670457,Modern Literature,Jacob Lee,McGraw-Hill,2007,Mathematics,540,3,7,"Floor 2, Section B",Available
BK000023,978-9885802964,Modern History,Mary Sanchez,Pearson,2008,History,268,8,3,"Floor 3, Section C",Available
BK000024,978-6849799030,Modern Science,Nancy Martin,Wiley,2019,Business,250,8,5,"Floor 1, Section B",Available
BK000025,978-8969538248,Advanced Mathematics,John Lewis,Cambridge,2021,Art,288,8,3,"Floor 1, Section B",Available
BK000026,978-5454563814,Introduction to History,Richard Taylor,Pearson,2005,Art,555,3,6,"Floor 1, Section B",Reserved
BK000027,978-4508185803,Modern Computer Science,Nancy King,Cengage,2015,Computer Science,501,5,1,"Floor 1, Section A",Available
BK000028,978-1965018713,Principles of History,Susan Scott,Pearson,2008,Literature,260,6,3,"Floor 3, Section A",Available
BK000029,978-1691040511,Modern Art,George Walker,Cambridge,2018,History,336,4,1,"Floor 1, Section A",Available
